,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
7749,Ronan Keating,Life Is A Rollercoaster,Ronan,album,0.66,0.79,0.00,-8.92,0.03,0.10,0.00,0.33,0.86,118.98,234827.00
7750,Ronan Keating,It's Only Christmas,Winter Songs,album,0.44,0.53,7.00,-6.92,0.03,0.28,0.00,0.12,0.25,138.08,204120.00
7751,Ronan Keating,Lovin' Each Day,Ronan,album,0.54,0.90,1.00,-6.26,0.06,0.02,0.00,0.29,0.83,106.68,212973.00
7752,Ronan Keating,This I Promise You,Bring You Home,album,0.50,0.47,10.00,-8.69,0.03,0.26,0.00,0.17,0.38,82.98,235667.00
7753,Ronan Keating,Father And Son - New Steve Mac,10 Years Of Hits,album,0.61,0.42,9.00,-8.32,0.03,0.46,0.00,0.22,0.30,71.96,200973.00
7754,Ronan Keating,Life Is A Rollercoaster - 2020 Version,Twenty Twenty,album,0.71,0.73,0.00,-7.98,0.04,0.01,0.00,0.23,0.42,119.03,204547.00
7755,Ronan Keating,The Way You Make Me Feel,Ronan,album,0.50,0.61,2.00,-9.86,0.03,0.15,0.01,0.07,0.49,142.01,232360.00
7756,Ronan Keating,Iris,Bring You Home,album,0.44,0.60,1.00,-6.92,0.03,0.02,0.00,0.10,0.27,155.11,248267.00
7757,Jackson Browne,Doctor My Eyes,Jackson Browne (Saturate Before Using),album,0.48,0.63,5.00,-8.41,0.03,0.27,0.00,0.09,0.54,75.63,199907.00
7758,Jackson Browne,Running on Empty,Running on Empty / Nothing but Time (Digital 45),single,0.54,0.71,9.00,-13.49,0.04,0.06,0.02,0.72,0.59,136.58,291893.00
7759,Jackson Browne,Stay - Remastered,Running on Empty (Remastered),album,0.60,0.77,7.00,-8.27,0.03,0.10,0.30,0.11,0.72,107.07,204464.00
7760,Jackson Browne,Somebody's Baby,The Next Voice You Hear - The Best Of Jackson Browne,compilation,0.74,0.74,2.00,-7.82,0.03,0.15,0.00,0.11,0.89,116.95,262733.00
7761,Jackson Browne,These Days,For Everyman,album,0.47,0.36,5.00,-11.33,0.03,0.52,0.00,0.11,0.28,138.21,284840.00
7762,Jackson Browne,The Pretender,The Pretender,album,0.62,0.53,7.00,-7.98,0.03,0.16,0.00,0.23,0.63,103.18,351000.00
7763,Jackson Browne,The Load-Out - Remastered,Running on Empty (Remastered),album,0.52,0.32,7.00,-11.71,0.03,0.74,0.00,0.13,0.31,105.70,335257.00
7764,Jackson Browne,Will The Circle Be Unbroken - Live,All My Friends: Celebrating The Songs & Voice Of Gregg Allman,compilation,0.30,0.74,7.00,-7.83,0.05,0.20,0.00,0.91,0.31,128.00,538760.00
7765,Jackson Browne,Late for the Sky - Remastered,Late for the Sky (Remastered),album,0.32,0.33,0.00,-9.72,0.03,0.61,0.00,0.08,0.21,165.40,341691.00
7766,Jackson Browne,Take It Easy,For Everyman,album,0.53,0.56,7.00,-10.22,0.03,0.04,0.00,0.50,0.37,138.34,231553.00
7767,Kelis,Milkshake - Radio Mix,Tasty,album,0.89,0.77,1.00,-6.12,0.04,0.01,0.03,0.16,0.82,113.00,182627.00
7768,Kelis,Trick Me - Club Mix,Tasty,album,0.97,0.74,1.00,-3.38,0.13,0.04,0.00,0.32,0.96,107.17,206107.00
7769,Kelis,Deal With It (feat. Kelis),DEMIDEVIL,album,0.71,0.69,1.00,-5.29,0.13,0.14,0.00,0.66,0.49,82.98,191149.00
7770,Kelis,Bounce (feat. Kelis) - Radio Edit,18 Months,album,0.78,0.96,2.00,-2.13,0.04,0.03,0.49,0.66,0.76,127.94,222187.00
7771,Kelis,Millionaire (feat. André 3000),Tasty,album,0.69,0.86,11.00,-6.60,0.12,0.03,0.00,0.04,0.76,176.00,224933.00
7772,Kelis,FEED THEM,FEED THEM,single,0.90,0.73,10.00,-6.72,0.18,0.05,0.01,0.05,0.81,101.97,93625.00
7773,Kelis,Bossy Featuring Too $hort (feat. Too $hort),Kelis Was Here,album,0.91,0.62,4.00,-5.56,0.18,0.00,0.00,0.06,0.78,84.01,274947.00
7774,Kelis,Suga Honey Iced Tea,Tasty,album,0.81,0.50,2.00,-9.60,0.05,0.02,0.05,0.30,0.53,93.01,203440.00
7775,Kelis,Caught Out There,Kaleidoscope,album,0.85,0.69,7.00,-6.78,0.09,0.05,0.01,0.07,0.92,93.00,291707.00
7776,Kelis,Acapella,Flesh Tone,album,0.69,0.84,11.00,-4.73,0.05,0.07,0.00,0.11,0.79,128.01,248120.00
7777,Fiona Apple,Paper Bag,When The Pawn...,album,0.71,0.45,0.00,-9.90,0.04,0.72,0.00,0.11,0.84,140.99,219267.00
7778,Fiona Apple,Criminal,Tidal,album,0.60,0.80,7.00,-7.91,0.03,0.01,0.00,0.30,0.59,89.85,341533.00
7779,Fiona Apple,Across the Universe,Pleasantville -Music From The Motion Picture,compilation,0.58,0.48,4.00,-10.55,0.03,0.43,0.00,0.10,0.55,129.88,307333.00
7780,Fiona Apple,Under The Table,Fetch The Bolt Cutters,album,0.64,0.49,0.00,-8.14,0.06,0.30,0.00,0.25,0.55,119.85,201352.00
7781,Fiona Apple,I Know,When The Pawn...,album,0.32,0.21,0.00,-14.22,0.03,0.94,0.00,0.12,0.20,146.37,295133.00
7782,Fiona Apple,I Want You To Love Me,Fetch The Bolt Cutters,album,0.53,0.50,9.00,-8.82,0.09,0.56,0.04,0.09,0.71,141.37,237713.00
7783,Fiona Apple,The First Taste,Tidal,album,0.68,0.73,6.00,-10.29,0.05,0.26,0.01,0.12,0.54,89.89,286960.00
7784,Fiona Apple,Get Gone,When The Pawn...,album,0.69,0.40,10.00,-9.77,0.03,0.21,0.00,0.56,0.33,130.23,247600.00
7785,Fiona Apple,Shadowboxer,Tidal,album,0.30,0.52,2.00,-7.30,0.03,0.27,0.00,0.17,0.22,74.13,324267.00
7786,Fiona Apple,Sleep to Dream,Tidal,album,0.73,0.58,2.00,-9.77,0.05,0.03,0.00,0.14,0.76,144.16,248560.00
7787,Cássia Eller,Por Enquanto - Ao Vivo,Cássia Eller Em Casa,compilation,0.41,0.41,7.00,-10.72,0.05,0.63,0.00,0.71,0.30,143.14,143839.00
7788,Cássia Eller,Relicário - Ao Vivo,Cássia Eller Em Casa,compilation,0.30,0.70,2.00,-6.57,0.04,0.53,0.00,0.19,0.40,165.66,246493.00
7789,Cássia Eller,Malandragem - Ao Vivo,Pop Brasil das Antigas,compilation,0.67,0.92,0.00,-6.53,0.10,0.28,0.00,0.77,0.78,135.26,240799.00
7790,Cássia Eller,O Segundo Sol - Ao Vivo,Cássia Eller Em Casa,compilation,0.42,0.71,0.00,-7.41,0.05,0.53,0.00,0.74,0.46,151.61,257106.00
7791,Cássia Eller,Palavras Ao Vento,Cássia Eller Em Casa,compilation,0.40,0.47,9.00,-4.98,0.03,0.25,0.00,0.11,0.12,71.92,213573.00
7792,Cássia Eller,O Segundo Sol,Rainhas do Rock,compilation,0.50,0.79,0.00,-4.23,0.03,0.22,0.00,0.27,0.45,145.89,253159.00
7793,Cássia Eller,Malandragem,Cássia Eller Em Casa,compilation,0.54,0.69,2.00,-5.88,0.03,0.11,0.00,0.17,0.21,132.99,250373.00
7794,Cássia Eller,Luz Dos Olhos - Ao Vivo,Cássia Eller Em Casa,compilation,0.50,0.77,7.00,-7.52,0.04,0.63,0.00,0.80,0.31,97.03,249942.00
7795,Cássia Eller,All Star,Dez De Dezembro,album,0.19,0.35,9.00,-10.43,0.03,0.54,0.00,0.17,0.17,49.29,199173.00
7796,Cássia Eller,As Coisas Tão Mais Lindas,Cássia Eller Em Casa,compilation,0.50,0.66,3.00,-5.55,0.03,0.17,0.00,0.07,0.47,91.04,219159.00
7797,Philharmonia Orchestra,Let You Break My Heart Again,Let You Break My Heart Again,single,0.30,0.14,2.00,-15.13,0.04,0.97,0.11,0.11,0.12,76.75,269067.00
7798,Philharmonia Orchestra,"The Flower Duet (From ""Lakmé"")",Katherine Jenkins / From The Heart,album,0.32,0.29,11.00,-12.97,0.04,0.96,0.00,0.10,0.08,102.28,230933.00
